id=1, plug=RED HEXAGON, leftSocket=GREEN HEXAGON, rightSocket=RED PENTAGON, data=---------------------
id=2, plug=RED PENTAGON, leftSocket=BLACK CIRCLE, rightSocket=WHITE PENTAGON, data=--------3------------
id=3, plug=BLACK CIRCLE, leftSocket=BLACK PENTAGON, rightSocket=WHITE HEXAGON, data=---------3-----------
id=4, plug=BLACK PENTAGON, leftSocket=RED CIRCLE, rightSocket=BLUE CIRCLE, data=-----------3---------
id=5, plug=WHITE PENTAGON, leftSocket=BLACK SQUARE, rightSocket=BLACK HEXAGON, data=------------3--------
id=6, plug=GREEN HEXAGON, leftSocket=BLACK HEXAGON, rightSocket=GREEN HEXAGON, data=------------3--------
id=7, plug=GREEN HEXAGON, leftSocket=GREEN HEXAGON, rightSocket=RED SQUARE, data=---------------------
id=8, plug=BLACK SQUARE, leftSocket=RED CIRCLE, rightSocket=BLACK HEXAGON, data=---------------------
id=9, plug=BLACK HEXAGON, leftSocket=GREEN SQUARE, rightSocket=GREEN CIRCLE, data=-------------3-------
id=10, plug=GREEN CIRCLE, leftSocket=GREEN TRIANGLE, rightSocket=GREEN PENTAGON, data=------------3--------
id=11, plug=BLACK HEXAGON, leftSocket=BLUE TRIANGLE, rightSocket=BLACK SQUARE, data=------------3--------
id=12, plug=BLACK HEXAGON, leftSocket=GREEN HEXAGON, rightSocket=WHITE HEXAGON, data=-----------3---------
id=13, plug=GREEN SQUARE, leftSocket=WHITE SQUARE, rightSocket=WHITE PENTAGON, data=--------3------------
id=14, plug=GREEN HEXAGON, leftSocket=BLUE SQUARE, rightSocket=WHITE PENTAGON, data=-----------3---------
id=15, plug=RED CIRCLE, leftSocket=BLACK SQUARE, rightSocket=GREEN TRIANGLE, data=-----------3---------
id=16, plug=BLUE TRIANGLE, leftSocket=BLACK SQUARE, rightSocket=RED CIRCLE, data=-------------3-------
id=17, plug=BLUE CIRCLE, leftSocket=GREEN SQUARE, rightSocket=GREEN SQUARE, data=--------3------------
id=18, plug=WHITE HEXAGON, leftSocket=BLACK PENTAGON, rightSocket=WHITE TRIANGLE, data=---------3-----------
id=19, plug=WHITE PENTAGON, leftSocket=BLUE SQUARE, rightSocket=WHITE TRIANGLE, data=---------------------
id=20, plug=WHITE SQUARE, leftSocket=WHITE SQUARE, rightSocket=GREEN PENTAGON, data=-----------3---------
id=21, plug=BLUE SQUARE, leftSocket=WHITE HEXAGON, rightSocket=BLACK HEXAGON, data=---------3-----------
id=22, plug=BLACK SQUARE, leftSocket=BLUE SQUARE, rightSocket=WHITE HEXAGON, data=--------3------------
id=23, plug=GREEN TRIANGLE, leftSocket=BLACK HEXAGON, rightSocket=BLACK PENTAGON, data=-------------3-------
id=24, plug=WHITE HEXAGON, leftSocket=BLUE SQUARE, rightSocket=WHITE TRIANGLE, data=---------3-----------
id=25, plug=GREEN PENTAGON, leftSocket=RED PENTAGON, rightSocket=RED SQUARE, data=-----------3---------
id=26, plug=BLACK HEXAGON, leftSocket=BLACK HEXAGON, rightSocket=GREEN TRIANGLE, data=--------3------------
id=27, plug=BLACK SQUARE, leftSocket=GREEN CIRCLE, rightSocket=BLUE SQUARE, data=-------------3-------
id=28, plug=RED SQUARE, leftSocket=RED PENTAGON, rightSocket=GREEN HEXAGON, data=-----------3---------
id=29, plug=GREEN SQUARE, leftSocket=WHITE CIRCLE, rightSocket=BLUE HEXAGON, data=-----------3---------
