id=1, plug=MAGENTA HEXAGON, leftSocket=WHITE TRIANGLE, rightSocket=BLACK TRIANGLE, data=1--------------------
id=2, plug=BLACK PENTAGON, leftSocket=BLACK PENTAGON, rightSocket=BLUE HEXAGON, data=1--------------------
id=3, plug=BLUE DIAMOND, leftSocket=BLACK DIAMOND, rightSocket=YELLOW CIRCLE, data=-----3-3----2-2-----1
id=4, plug=BLACK SQUARE, leftSocket=GREEN TRIANGLE, rightSocket=RED DIAMOND, data=---------------------
id=5, plug=BLACK SQUARE, leftSocket=RED CIRCLE, rightSocket=YELLOW TRIANGLE, data=---------------------
id=6, plug=YELLOW TRIANGLE, leftSocket=YELLOW DIAMOND, rightSocket=CYAN OCTAGON, data=---33-----22---------
id=7, plug=YELLOW HEXAGON, leftSocket=CYAN HEXAGON, rightSocket=WHITE CIRCLE, data=---------------------
id=8, plug=RED TRIANGLE, leftSocket=GREEN DIAMOND, rightSocket=RED TRIANGLE, data=---------------------
id=9, plug=RED TRIANGLE, leftSocket=BLUE DIAMOND, rightSocket=WHITE HEXAGON, data=------3-3----2-2----1
id=10, plug=YELLOW CIRCLE, leftSocket=BLUE DIAMOND, rightSocket=MAGENTA PENTAGON, data=--------------------1
id=11, plug=CYAN STAR, leftSocket=MAGENTA STAR, rightSocket=BLACK OCTAGON, data=-----3------2--------
id=12, plug=BLUE TRIANGLE, leftSocket=BLACK SQUARE, rightSocket=GREEN SQUARE, data=1---3-3----2-2-------
id=13, plug=RED DIAMOND, leftSocket=RED CIRCLE, rightSocket=RED DIAMOND, data=1--33-----22---------
id=14, plug=WHITE CIRCLE, leftSocket=YELLOW TRIANGLE, rightSocket=WHITE TRIANGLE, data=--------------------1
id=15, plug=WHITE TRIANGLE, leftSocket=YELLOW DIAMOND, rightSocket=MAGENTA STAR, data=---33-----22--------1
id=16, plug=YELLOW HEXAGON, leftSocket=BLACK STAR, rightSocket=GREEN TRIANGLE, data=---------------------
id=17, plug=GREEN OCTAGON, leftSocket=RED PENTAGON, rightSocket=CYAN CIRCLE, data=-----3-3----2-2-----1
id=18, plug=BLUE STAR, leftSocket=RED OCTAGON, rightSocket=BLUE PENTAGON, data=-----3------2-------1
id=19, plug=WHITE SQUARE, leftSocket=BLUE OCTAGON, rightSocket=BLACK TRIANGLE, data=1--------------------
id=20, plug=RED TRIANGLE, leftSocket=BLUE HEXAGON, rightSocket=WHITE CIRCLE, data=---------------------
id=21, plug=GREEN SQUARE, leftSocket=MAGENTA CIRCLE, rightSocket=YELLOW CIRCLE, data=---------------------
id=22, plug=BLUE TRIANGLE, leftSocket=BLUE SQUARE, rightSocket=RED CIRCLE, data=1------3-3----2-2----
id=23, plug=MAGENTA PENTAGON, leftSocket=GREEN DIAMOND, rightSocket=RED OCTAGON, data=1------3------2------
id=24, plug=WHITE HEXAGON, leftSocket=RED OCTAGON, rightSocket=CYAN PENTAGON, data=----3------2--------1
id=25, plug=BLACK HEXAGON, leftSocket=MAGENTA PENTAGON, rightSocket=BLACK TRIANGLE, data=--------------------1
id=26, plug=MAGENTA STAR, leftSocket=CYAN PENTAGON, rightSocket=CYAN OCTAGON, data=------3-3----2-2-----
id=27, plug=CYAN SQUARE, leftSocket=WHITE OCTAGON, rightSocket=RED STAR, data=---------------------
id=28, plug=RED PENTAGON, leftSocket=BLUE CIRCLE, rightSocket=CYAN CIRCLE, data=------3-3----2-2-----
id=29, plug=RED PENTAGON, leftSocket=GREEN CIRCLE, rightSocket=GREEN OCTAGON, data=1--------------------
id=30, plug=GREEN STAR, leftSocket=CYAN CIRCLE, rightSocket=GREEN TRIANGLE, data=-------3-3----2-2----
id=31, plug=BLACK STAR, leftSocket=MAGENTA TRIANGLE, rightSocket=BLACK OCTAGON, data=--------------------1
id=32, plug=BLACK TRIANGLE, leftSocket=BLACK CIRCLE, rightSocket=GREEN STAR, data=--------------------1
id=33, plug=GREEN PENTAGON, leftSocket=YELLOW TRIANGLE, rightSocket=WHITE DIAMOND, data=---------------------
id=34, plug=WHITE DIAMOND, leftSocket=BLUE DIAMOND, rightSocket=RED PENTAGON, data=---------------------
id=35, plug=RED PENTAGON, leftSocket=BLUE CIRCLE, rightSocket=RED STAR, data=---------3-3----2-2-1
id=36, plug=BLACK CIRCLE, leftSocket=CYAN SQUARE, rightSocket=GREEN CIRCLE, data=1------3------2------
id=37, plug=CYAN SQUARE, leftSocket=BLACK HEXAGON, rightSocket=MAGENTA PENTAGON, data=----3------2--------1
id=38, plug=BLUE HEXAGON, leftSocket=GREEN HEXAGON, rightSocket=BLACK HEXAGON, data=---------------------
id=39, plug=BLUE CIRCLE, leftSocket=GREEN PENTAGON, rightSocket=WHITE SQUARE, data=-----3------2--------
id=40, plug=CYAN TRIANGLE, leftSocket=YELLOW SQUARE, rightSocket=BLUE CIRCLE, data=--------------------1
id=41, plug=YELLOW DIAMOND, leftSocket=BLUE SQUARE, rightSocket=WHITE OCTAGON, data=--------------------1
id=42, plug=CYAN PENTAGON, leftSocket=BLACK OCTAGON, rightSocket=WHITE SQUARE, data=-----3------2-------1
id=43, plug=CYAN CIRCLE, leftSocket=GREEN OCTAGON, rightSocket=MAGENTA HEXAGON, data=1--------------------
id=44, plug=GREEN PENTAGON, leftSocket=YELLOW TRIANGLE, rightSocket=RED STAR, data=------3--3---2--2----
id=45, plug=BLUE HEXAGON, leftSocket=YELLOW STAR, rightSocket=BLUE SQUARE, data=1--------------------
id=46, plug=WHITE STAR, leftSocket=WHITE STAR, rightSocket=RED OCTAGON, data=--------------------1
id=47, plug=RED DIAMOND, leftSocket=WHITE OCTAGON, rightSocket=MAGENTA DIAMOND, data=------3-3----2-2-----
id=48, plug=YELLOW CIRCLE, leftSocket=YELLOW OCTAGON, rightSocket=BLUE HEXAGON, data=------3--3---2--2---1
id=49, plug=BLUE HEXAGON, leftSocket=RED STAR, rightSocket=BLUE PENTAGON, data=1--------------------
id=50, plug=MAGENTA CIRCLE, leftSocket=RED CIRCLE, rightSocket=BLACK OCTAGON, data=--------------------1
id=51, plug=YELLOW TRIANGLE, leftSocket=BLUE DIAMOND, rightSocket=CYAN HEXAGON, data=-----3------2--------
id=52, plug=RED PENTAGON, leftSocket=RED CIRCLE, rightSocket=CYAN HEXAGON, data=---------------------
id=53, plug=BLUE SQUARE, leftSocket=YELLOW SQUARE, rightSocket=MAGENTA CIRCLE, data=1------3------2------
id=54, plug=RED SQUARE, leftSocket=BLUE DIAMOND, rightSocket=WHITE CIRCLE, data=-----3------2-------1
id=55, plug=GREEN OCTAGON, leftSocket=GREEN PENTAGON, rightSocket=BLUE CIRCLE, data=1-----3-3----2-2-----
id=56, plug=BLUE CIRCLE, leftSocket=RED STAR, rightSocket=RED STAR, data=-----3-3----2-2-----1
id=57, plug=RED DIAMOND, leftSocket=MAGENTA TRIANGLE, rightSocket=YELLOW TRIANGLE, data=---------------------
id=58, plug=WHITE STAR, leftSocket=BLACK CIRCLE, rightSocket=RED STAR, data=---------------------
id=59, plug=GREEN DIAMOND, leftSocket=BLUE PENTAGON, rightSocket=BLACK HEXAGON, data=--------------------1
id=60, plug=CYAN CIRCLE, leftSocket=YELLOW CIRCLE, rightSocket=WHITE DIAMOND, data=1-------------------1
id=61, plug=RED DIAMOND, leftSocket=BLUE DIAMOND, rightSocket=RED DIAMOND, data=1-------------------1
id=62, plug=BLUE STAR, leftSocket=YELLOW OCTAGON, rightSocket=YELLOW SQUARE, data=-------------------1-
id=63, plug=RED TRIANGLE, leftSocket=BLACK PENTAGON, rightSocket=YELLOW TRIANGLE, data=--------------------1
id=64, plug=BLUE STAR, leftSocket=BLACK DIAMOND, rightSocket=CYAN CIRCLE, data=----3------2--------1
id=65, plug=CYAN CIRCLE, leftSocket=RED DIAMOND, rightSocket=RED CIRCLE, data=1-------------------1
id=66, plug=BLACK DIAMOND, leftSocket=CYAN STAR, rightSocket=CYAN STAR, data=---33-----22--------1
id=67, plug=GREEN DIAMOND, leftSocket=YELLOW SQUARE, rightSocket=BLACK CIRCLE, data=--------------------1
id=68, plug=MAGENTA TRIANGLE, leftSocket=RED SQUARE, rightSocket=BLACK CIRCLE, data=---------------------
id=69, plug=BLACK TRIANGLE, leftSocket=WHITE SQUARE, rightSocket=BLUE TRIANGLE, data=------3-3----2-2----1
id=70, plug=GREEN TRIANGLE, leftSocket=RED SQUARE, rightSocket=CYAN PENTAGON, data=1--------------------
