id=1, plug=GREEN STAR, leftSocket=RED SQUARE, rightSocket=WHITE TRIANGLE, data=-------------------3-
id=2, plug=WHITE DIAMOND, leftSocket=RED STAR, rightSocket=MAGENTA HEXAGON, data=----1------3---------
id=3, plug=MAGENTA OCTAGON, leftSocket=RED SQUARE, rightSocket=MAGENTA TRIANGLE, data=-------------------3-
id=4, plug=RED SQUARE, leftSocket=WHITE DIAMOND, rightSocket=BLUE DIAMOND, data=----1------3---------
id=5, plug=BLUE STAR, leftSocket=BLACK DIAMOND, rightSocket=BLACK DIAMOND, data=-----------------2---
id=6, plug=WHITE SQUARE, leftSocket=RED TRIANGLE, rightSocket=RED DIAMOND, data=------1------3-------
id=7, plug=RED SQUARE, leftSocket=YELLOW OCTAGON, rightSocket=CYAN SQUARE, data=---------------------
id=8, plug=CYAN DIAMOND, leftSocket=YELLOW PENTAGON, rightSocket=MAGENTA PENTAGON, data=---------------------
id=9, plug=RED STAR, leftSocket=RED HEXAGON, rightSocket=YELLOW HEXAGON, data=---------------------
id=10, plug=RED HEXAGON, leftSocket=GREEN OCTAGON, rightSocket=GREEN DIAMOND, data=-------1------3------
id=11, plug=YELLOW OCTAGON, leftSocket=MAGENTA STAR, rightSocket=WHITE DIAMOND, data=-------1------3-----1
id=12, plug=BLACK OCTAGON, leftSocket=MAGENTA TRIANGLE, rightSocket=YELLOW PENTAGON, data=---------------------
id=13, plug=WHITE TRIANGLE, leftSocket=GREEN SQUARE, rightSocket=BLUE SQUARE, data=----1------3---------
id=14, plug=MAGENTA HEXAGON, leftSocket=WHITE SQUARE, rightSocket=CYAN CIRCLE, data=------1------3-------
id=15, plug=WHITE OCTAGON, leftSocket=WHITE CIRCLE, rightSocket=WHITE CIRCLE, data=------1------3-------
id=16, plug=YELLOW OCTAGON, leftSocket=CYAN PENTAGON, rightSocket=YELLOW PENTAGON, data=-----1------3--------
id=17, plug=WHITE DIAMOND, leftSocket=WHITE STAR, rightSocket=BLUE HEXAGON, data=---1------3--------1-
id=18, plug=RED SQUARE, leftSocket=WHITE TRIANGLE, rightSocket=RED DIAMOND, data=----1------3--------1
id=19, plug=GREEN TRIANGLE, leftSocket=BLUE TRIANGLE, rightSocket=CYAN CIRCLE, data=---1------3-------2--
id=20, plug=CYAN OCTAGON, leftSocket=WHITE CIRCLE, rightSocket=CYAN SQUARE, data=---1------3--------1-
id=21, plug=RED DIAMOND, leftSocket=BLACK STAR, rightSocket=BLUE PENTAGON, data=-1-1----3-3-----3---1
id=22, plug=BLUE HEXAGON, leftSocket=YELLOW OCTAGON, rightSocket=BLACK CIRCLE, data=----1------3--------1
id=23, plug=WHITE DIAMOND, leftSocket=CYAN SQUARE, rightSocket=MAGENTA SQUARE, data=----1------3--------1
id=24, plug=WHITE TRIANGLE, leftSocket=BLACK OCTAGON, rightSocket=CYAN TRIANGLE, data=-11111------33333----
id=25, plug=GREEN HEXAGON, leftSocket=GREEN CIRCLE, rightSocket=GREEN DIAMOND, data=---------------------
id=26, plug=YELLOW DIAMOND, leftSocket=GREEN TRIANGLE, rightSocket=MAGENTA CIRCLE, data=------1------3-------
id=27, plug=YELLOW STAR, leftSocket=YELLOW DIAMOND, rightSocket=RED SQUARE, data=-1------3------------
id=28, plug=MAGENTA SQUARE, leftSocket=MAGENTA SQUARE, rightSocket=BLACK PENTAGON, data=----1------3---------
id=29, plug=RED OCTAGON, leftSocket=CYAN STAR, rightSocket=YELLOW SQUARE, data=-1------3------------
id=30, plug=WHITE PENTAGON, leftSocket=WHITE SQUARE, rightSocket=BLUE TRIANGLE, data=---1------3----------
id=31, plug=MAGENTA CIRCLE, leftSocket=GREEN SQUARE, rightSocket=BLUE STAR, data=1-1----3-3----------1
id=32, plug=BLACK CIRCLE, leftSocket=WHITE OCTAGON, rightSocket=CYAN PENTAGON, data=---1------3--------1-
id=33, plug=MAGENTA CIRCLE, leftSocket=GREEN SQUARE, rightSocket=YELLOW CIRCLE, data=----1------3---------
id=34, plug=YELLOW SQUARE, leftSocket=CYAN OCTAGON, rightSocket=YELLOW STAR, data=---1------3----------
id=35, plug=MAGENTA OCTAGON, leftSocket=BLUE PENTAGON, rightSocket=CYAN OCTAGON, data=---1------3-------2--
id=36, plug=CYAN PENTAGON, leftSocket=CYAN SQUARE, rightSocket=YELLOW CIRCLE, data=-1-1----3-3-----3---1
id=37, plug=YELLOW CIRCLE, leftSocket=GREEN TRIANGLE, rightSocket=MAGENTA TRIANGLE, data=-----------------2---
id=38, plug=CYAN HEXAGON, leftSocket=WHITE CIRCLE, rightSocket=GREEN OCTAGON, data=-1------3------------
id=39, plug=CYAN OCTAGON, leftSocket=BLUE OCTAGON, rightSocket=BLACK DIAMOND, data=---------------------
id=40, plug=CYAN STAR, leftSocket=MAGENTA SQUARE, rightSocket=BLACK HEXAGON, data=---------------------
id=41, plug=WHITE CIRCLE, leftSocket=WHITE TRIANGLE, rightSocket=BLUE OCTAGON, data=---1------3----------
id=42, plug=GREEN TRIANGLE, leftSocket=BLUE PENTAGON, rightSocket=YELLOW STAR, data=---------------------
id=43, plug=YELLOW PENTAGON, leftSocket=GREEN PENTAGON, rightSocket=WHITE SQUARE, data=---1------3---------1
id=44, plug=BLACK SQUARE, leftSocket=CYAN TRIANGLE, rightSocket=YELLOW SQUARE, data=---------------------
id=45, plug=GREEN STAR, leftSocket=MAGENTA PENTAGON, rightSocket=BLACK DIAMOND, data=---------------------
id=46, plug=CYAN HEXAGON, leftSocket=RED DIAMOND, rightSocket=BLACK OCTAGON, data=-----1------3--------
id=47, plug=RED OCTAGON, leftSocket=WHITE SQUARE, rightSocket=WHITE TRIANGLE, data=---1-1----3-3-------1
id=48, plug=WHITE STAR, leftSocket=CYAN TRIANGLE, rightSocket=RED HEXAGON, data=-1------3------------
id=49, plug=BLACK CIRCLE, leftSocket=BLACK SQUARE, rightSocket=BLUE HEXAGON, data=---------------------
