A=5345 B=3352 C=9769 X=615929817 Y=4905437500 Z=21304644932 M=129
A=5429 B=3477 C=8003 X=690181855 Y=7759643234 Z=78972799620 M=89
A=5936 B=6592 C=6985 X=879512995 Y=2574091479 Z=46488771977 M=100
A=6257 B=6776 C=5778 X=630626737 Y=8799383971 Z=24379080976 M=130
A=6063 B=4284 C=7536 X=472608206 Y=8942326460 Z=22263425051 M=121
A=4371 B=3514 C=8361 X=438724146 Y=9478688667 Z=34255746049 M=58
A=7913 B=6833 C=9248 X=603612753 Y=7297631326 Z=63775095055 M=78
A=6705 B=9992 C=6016 X=937101838 Y=2959716321 Z=10650825434 M=92
A=7602 B=5760 C=6487 X=376978570 Y=8036568758 Z=78995895244 M=131
A=7323 B=4813 C=9898 X=688924961 Y=8517479592 Z=13341276924 M=192
A=9415 B=6559 C=5982 X=958884052 Y=7788870442 Z=75351665234 M=58
A=5646 B=8692 C=6550 X=538011490 Y=2026844338 Z=64547599600 M=103
A=7400 B=5693 C=9912 X=392261968 Y=5708052709 Z=28230072670 M=142
A=9816 B=6161 C=5208 X=215016221 Y=9185903257 Z=15413002244 M=112
A=8623 B=3685 C=8313 X=130921641 Y=7617852052 Z=37092702912 M=116
A=8154 B=8395 C=9396 X=195625087 Y=5768417349 Z=59866686514 M=158
A=6782 B=3327 C=5866 X=910576463 Y=5185438771 Z=62646081088 M=73
A=2540 B=5218 C=9474 X=261247346 Y=8072359381 Z=83831837550 M=196
A=2777 B=4064 C=6217 X=412778533 Y=2784193509 Z=47521076377 M=162
A=9658 B=6556 C=8537 X=597338947 Y=4470424078 Z=73932267002 M=178
A=5136 B=3633 C=9431 X=915699974 Y=9069011214 Z=24931878685 M=147
A=4852 B=9290 C=5819 X=994058144 Y=8313063190 Z=80215598218 M=150
A=3284 B=7265 C=9786 X=564491957 Y=8371233367 Z=24987378748 M=192
A=3806 B=4947 C=5392 X=389338279 Y=1034665870 Z=83031615631 M=96
A=4758 B=5358 C=6343 X=310702507 Y=6915330590 Z=90750845994 M=54
A=9422 B=3759 C=8417 X=174207885 Y=2694031488 Z=64292431665 M=157
A=8514 B=9778 C=8667 X=336912886 Y=3735849143 Z=63330344018 M=177
A=2178 B=4869 C=6565 X=484574328 Y=7406193155 Z=10628154823 M=68
A=7543 B=5170 C=7227 X=614380853 Y=3334405063 Z=81667285938 M=56
A=6395 B=5111 C=6204 X=148798095 Y=1860331195 Z=59169446512 M=192
A=9542 B=5916 C=7552 X=220477276 Y=6765281057 Z=78476686172 M=150
A=7323 B=8396 C=8901 X=180558919 Y=4651128356 Z=74776649977 M=75
A=6387 B=4107 C=8962 X=849200934 Y=6566469459 Z=39607661904 M=87
A=6351 B=8609 C=8087 X=141867760 Y=7434717322 Z=18910851872 M=57
A=4081 B=7042 C=8390 X=847703351 Y=7571286173 Z=73688577314 M=169
A=3949 B=5549 C=9848 X=933938222 Y=9475753325 Z=70789782626 M=108
A=6422 B=7006 C=5376 X=651591642 Y=6518237393 Z=44943951872 M=152
A=3093 B=6755 C=5492 X=694734169 Y=1598573859 Z=53076464578 M=142
A=2475 B=3367 C=7128 X=370543080 Y=2749066807 Z=94677404265 M=146
A=7557 B=4296 C=9187 X=860146299 Y=2360590778 Z=44295358786 M=131
A=2558 B=4723 C=5174 X=959925840 Y=3072146454 Z=14638238646 M=124
A=9571 B=5732 C=6261 X=100748360 Y=5155981373 Z=45209359997 M=72
A=9396 B=3185 C=5437 X=904660933 Y=3395435532 Z=91583187940 M=91
A=2244 B=9167 C=9294 X=499094375 Y=6694813084 Z=59414384801 M=100
A=6032 B=4747 C=5684 X=368011336 Y=2987987230 Z=74767837435 M=74
A=4376 B=6122 C=8884 X=691956442 Y=7943770292 Z=51500463900 M=179
A=5918 B=4144 C=8077 X=145278284 Y=5949123759 Z=64432722835 M=130
A=3733 B=4196 C=8288 X=666009280 Y=4077110690 Z=22789463557 M=188
A=8749 B=3161 C=7261 X=642889069 Y=7423820476 Z=60394254695 M=130
A=9854 B=8109 C=9319 X=411355858 Y=6914928212 Z=56223683167 M=147
A=8448 B=9077 C=7735 X=580058676 Y=4798587003 Z=39740790901 M=179
A=5826 B=6980 C=5012 X=113251626 Y=8476412807 Z=32527507265 M=187
A=4414 B=8564 C=8163 X=697695821 Y=9961529687 Z=18721922932 M=127
A=3209 B=5787 C=8152 X=361477044 Y=3256976964 Z=77062243894 M=168
A=7924 B=7605 C=9245 X=208503778 Y=1307253108 Z=56623484502 M=164
A=9056 B=7847 C=5738 X=606169934 Y=5325809048 Z=13088413943 M=63
A=5277 B=4262 C=5288 X=278345017 Y=9228919058 Z=84893570514 M=89
A=5087 B=7176 C=6682 X=114198262 Y=6134056579 Z=17998796649 M=119
A=5036 B=9844 C=6656 X=134475590 Y=1337744264 Z=37705911132 M=195
A=3192 B=6526 C=8422 X=800800030 Y=8641433079 Z=24899311506 M=128
A=2536 B=4319 C=5933 X=401444346 Y=3854145627 Z=79257254714 M=175
A=3293 B=9734 C=9835 X=810183953 Y=4891315427 Z=53004006931 M=180
A=3638 B=3105 C=6913 X=572001726 Y=1176911215 Z=50204412274 M=178
A=5898 B=5668 C=7630 X=595389410 Y=2533453594 Z=57226282222 M=135
A=6685 B=5397 C=7090 X=228616768 Y=8260906005 Z=83370325197 M=103
A=9881 B=4366 C=5390 X=821130860 Y=3837464331 Z=68692614179 M=70
A=6589 B=9941 C=5197 X=648776116 Y=7196709886 Z=90891215526 M=102
A=8897 B=5024 C=9840 X=790972567 Y=8616173375 Z=79460604354 M=195
A=5748 B=5644 C=6923 X=132527191 Y=4218062199 Z=50102148593 M=82
A=6961 B=3577 C=9790 X=767553914 Y=1041159361 Z=83820657572 M=170
A=2202 B=5257 C=7311 X=656396437 Y=7468860825 Z=66756145247 M=89
A=9133 B=5412 C=8950 X=334135901 Y=2198043521 Z=13558565558 M=101
A=9971 B=6586 C=7442 X=610052004 Y=5703125695 Z=97800467838 M=147
A=5584 B=6957 C=8372 X=741074786 Y=6376781355 Z=36312162912 M=74
A=4208 B=3510 C=8337 X=865573174 Y=7101653139 Z=68665964645 M=82
A=7493 B=8183 C=7928 X=296463362 Y=1129887356 Z=38921525552 M=175
A=5776 B=5977 C=9509 X=549807585 Y=8262405309 Z=99354816719 M=192
A=7849 B=7795 C=7490 X=155752730 Y=2560610588 Z=18908827756 M=77
A=4303 B=5356 C=5162 X=558677753 Y=2915018291 Z=16654548453 M=167
A=6350 B=3609 C=5589 X=133086687 Y=7776375618 Z=90969498004 M=120
A=5996 B=7839 C=9162 X=489220878 Y=7961301384 Z=77322206367 M=116
A=3840 B=5955 C=5038 X=667584726 Y=9010101196 Z=94368829160 M=102
A=9821 B=9143 C=8441 X=756745839 Y=8181411951 Z=65372410465 M=101
A=8933 B=4405 C=6672 X=147422145 Y=4083278862 Z=89544353127 M=143
A=5329 B=3100 C=5518 X=681741978 Y=7996868933 Z=92284643300 M=163
A=9582 B=6927 C=8966 X=448365537 Y=1295359226 Z=43380735349 M=70
A=7605 B=6372 C=6679 X=147562328 Y=4408808329 Z=82643626817 M=158
A=4582 B=6764 C=6022 X=438991496 Y=8004891366 Z=49415972677 M=112
A=4478 B=5947 C=8561 X=931160385 Y=8768626129 Z=64577667789 M=195
A=3990 B=3356 C=9875 X=659252987 Y=8302227592 Z=72324491669 M=165
A=8403 B=8155 C=9266 X=464741478 Y=7264661024 Z=54678329644 M=150
A=6347 B=8177 C=7843 X=111622274 Y=4770942568 Z=21412848838 M=57
A=4670 B=7155 C=7890 X=120960078 Y=7574980376 Z=23294053609 M=88
A=3384 B=6583 C=9270 X=465722418 Y=8437591155 Z=29568940419 M=170
A=8355 B=3052 C=8719 X=153598486 Y=7691229550 Z=39551136677 M=155
A=8336 B=9958 C=7931 X=983181427 Y=6387693456 Z=61045770336 M=162
A=7180 B=9775 C=8044 X=565535332 Y=8574709701 Z=66484224187 M=122
A=9112 B=3504 C=6951 X=283760896 Y=2342533774 Z=44207499657 M=87
A=3834 B=5686 C=5583 X=816221346 Y=2750762626 Z=57573557274 M=130
A=4032 B=9114 C=6741 X=893226134 Y=6687162122 Z=20783640964 M=174
